Nombre empresa,Ciudad,Categoría,Titulo del Anuncio,Telf,WhatsApp de Contacto Numero,WhatsApp,Email,Postal,Web,Nombre de la Página
Corporativo Hogares Union – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo Hogares Union – Empresa Querétaro, 553 692 1000,,,contacto@hogaresunion.com,76039,https://empresas10.com/mex/queretaro/corporativo-hogares-union/,Empresas 10
Grupo Monex Grupo Financiero – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Monex Grupo Financiero – Empresa Querétaro," 555 231 4500, 800 746 6639",,,monex@monex.com.mx,76090,https://empresas10.com/mex/queretaro/grupo-monex-grupo-financiero/,Empresas 10
Grupo SID – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo SID – Empresa Querétaro, 52 442 192 8000,,,ventas@gruposid.com.mx,76120,https://empresas10.com/mex/queretaro/grupo-sid/,Empresas 10
Grupo Ccima – Empresa Querétaro,"Santa Rosa Jáuregui, Qro.","Santa Rosa Jáuregui, Qro.",Grupo Ccima – Empresa Querétaro, 442 291 2223,,,hola@grupoccima.com,76220,https://empresas10.com/mex/queretaro/grupo-ccima/,Empresas 10
Corporativo ABB – Empresa Querétaro,,,Corporativo ABB – Empresa Querétaro," 01 800 522 2365, 01 800 5ABB 365, 52 558 525 9486",,,contact.center@ch.abb.com,Santiago,https://empresas10.com/mex/queretaro/corporativo-abb/,Empresas 10
Corporativo Horus – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo Horus – Empresa Querétaro, 52 442 204 7985,,,contacto@corporativohorus.com,76090,https://empresas10.com/mex/queretaro/corporativo-horus/,Empresas 10
Corporativo Natgas – Empresa Querétaro,,,Corporativo Natgas – Empresa Querétaro, 52 442 666 0610,,,atencionalcliente@natgas.com.mx,Santiago,https://empresas10.com/mex/queretaro/corporativo-natgas/,Empresas 10
Grupo Hi-Tec – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Hi-Tec – Empresa Querétaro, 52 55 4125 9100,,,info@grupohitec.com,76089,https://empresas10.com/mex/queretaro/grupo-hi-tec/,Empresas 10
Grupo CTI – Empresa Querétaro,,,Grupo CTI – Empresa Querétaro," 294 6006 Ext.301, 442 128 1295",,,atencionaclientes@grupocti-mexico.com,Naranjos,https://empresas10.com/mex/queretaro/grupo-cti/,Empresas 10
Corporativo LKS Management Solutions México – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo LKS Management Solutions México – Empresa Querétaro, 3 490 254 0990,,,info@lksnext.com,76140,https://empresas10.com/mex/queretaro/corporativo-lks-management-solutions-mexico/,Empresas 10
Grupo Inco – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Inco – Empresa Querétaro," 52 999 943 6391, 93, 1 305 677 2741",,,info@grupo-inco.com,76120,https://empresas10.com/mex/queretaro/grupo-inco/,Empresas 10
Grupo Morsa de México – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Morsa de México – Empresa Querétaro, 667 758 2020,,,contacto@morsa.com.mx,76150,https://empresas10.com/mex/queretaro/grupo-morsa-de-mexico/,Empresas 10
Grupo Momentum – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Momentum – Empresa Querétaro, 52 442 294 8121,,,ventas@momentum.com.mx,76060,https://empresas10.com/mex/queretaro/grupo-momentum/,Empresas 10
Grupo Gise Industrial – Empresa Querétaro,,,Grupo Gise Industrial – Empresa Querétaro," 01 442 404 4718, 01 442 413 5069",,,"contactogise@yahoo.com.mx, gisesa@yahoo.com.mx",Sta,https://empresas10.com/mex/queretaro/grupo-gise-industrial/,Empresas 10
Grupo Gamesa – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Gamesa – Empresa Querétaro, 01 800 426 3721,,,gamesa@gamesacorp.com,76120,https://empresas10.com/mex/queretaro/grupo-gamesa/,Empresas 10
Grupo Artica – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Artica – Empresa Querétaro," 442 291 2315, 291 2316, 291 0765",,,ventas@grupoartica.com.mx,76220,https://empresas10.com/mex/queretaro/grupo-artica/,Empresas 10
Corporativo Ruta – Asturiano – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo Ruta – Asturiano – Empresa Querétaro, 52 442 183 0550,,,quesugerencias@tiendaselasturiano.com,76079,https://empresas10.com/mex/queretaro/corporativo-ruta-asturiano/,Empresas 10
Grupo Senda – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Senda – Empresa Querétaro, 01 800 881 8181,,,atencionaclientes@gruposenda.com,76063,https://empresas10.com/mex/queretaro/grupo-senda/,Empresas 10
Grupo IPC – Empresa Querétaro,"El Pueblito, Qro.","El Pueblito, Qro.",Grupo IPC – Empresa Querétaro, 442 192 9600,,,ipcmkt@ipc.com.mx,76905,https://empresas10.com/mex/queretaro/grupo-ipc/,Empresas 10
Corporativo Gracoil – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo Gracoil – Empresa Querétaro," 442 294 5978, 442 294 5977, 442 213 7209, 442 213 5944, 442 244 9424, 442 224 7461",,,contacto@gracoil.com.mx,76079,https://empresas10.com/mex/queretaro/corporativo-gracoil/,Empresas 10
Corporativo Michelin – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo Michelin – Empresa Querétaro, 800 062 1492,,,atencionconsumidor.mexico@michelin.com,76089,https://empresas10.com/mex/queretaro/corporativo-michelin/,Empresas 10
Corporativo Nieto – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo Nieto – Empresa Querétaro, 52 442 211 4200,,,privacidad@gasexpressnieto.com.mx,76049,https://empresas10.com/mex/queretaro/corporativo-nieto/,Empresas 10
Corporativo La Bici – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo La Bici – Empresa Querétaro," 552 453 7747, 552 453 7742",,,ventas@labici.com.mx,76000,https://empresas10.com/mex/queretaro/corporativo-la-bici/,Empresas 10
Grupo Infra – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Infra – Empresa Querétaro," 800 712 2525, 552 122 1350, 800 712 2525",,,atencionaclientes@infra.com.mx,76030,https://empresas10.com/mex/queretaro/grupo-infra/,Empresas 10
Grupo Rudolphs – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Rudolphs – Empresa Querétaro, 442 303 2999,,,gruporudolphs@hotmail.com,76087,https://empresas10.com/mex/queretaro/grupo-rudolphs/,Empresas 10
Grupo Acser – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Acser – Empresa Querétaro, 442 296 1100,,,contacto@acser.net,76030,https://empresas10.com/mex/queretaro/grupo-acser/,Empresas 10
Grupo Maspe – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Maspe – Empresa Querétaro," 442 312 2383, 312 2384",,,grupomaspe@gmaspe.com,76138,https://empresas10.com/mex/queretaro/grupo-maspe/,Empresas 10
Grupo Dice – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Grupo Dice – Empresa Querétaro, 52 558 000 6400,,,ereyna@grupo-dice.com,76079,https://empresas10.com/mex/queretaro/grupo-dice/,Empresas 10
Corporativo IOS Offices Punto Sur – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo IOS Offices Punto Sur – Empresa Querétaro," 800 300 0467, 551 253 7000",,,"hola@iosoffices.com, info@iosoffices.com",76090,https://empresas10.com/mex/queretaro/corporativo-ios-offices-punto-sur/,Empresas 10
Corporativo Super Q – Empresa Querétaro,,,Corporativo Super Q – Empresa Querétaro, 01 442 192 9800,,,contacto@superq.com.mx,México,https://empresas10.com/mex/queretaro/corporativo-super-q/,Empresas 10
Grupo Scanda – Empresa Querétaro,"Rancho Menchaca, Qro.","Rancho Menchaca, Qro.",Grupo Scanda – Empresa Querétaro, 551 251 2700,,,contacto@scanda.com.mx,76130,https://empresas10.com/mex/queretaro/grupo-scanda/,Empresas 10
Empresa Grupo Financiero Santander México,"Ciudad de México, CDMX.","Ciudad de México, CDMX.",Empresa Grupo Financiero Santander México," 52 555 257 8000,",,,"ueac@santander.com.mx, unidad_pd@santander.com.mx, investor@santander.com.mx, susan.borinelli@mbsvalue.com,",01219,https://empresas10.com/grandes/santander-mexico/,Empresas 10
Corporativo Telcel R6 – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo Telcel R6 – Empresa Querétaro, 2 581 3700 ext. 7393,,,comunicacion@telcel.com,76158,https://empresas10.com/mex/queretaro/corporativo-telcel-r6/,Empresas 10
Monex Grupo Financiero – Empresa Puebla,"Puebla, Pue.","Puebla, Pue.",Monex Grupo Financiero – Empresa Puebla," 555 231 4500, 800 746 6639",,,"monex@monex.com.mx, seguridadinformacion@monex.com.mx",72400,https://empresas10.com/mex/puebla/monex-grupo-financiero/,Empresas 10
Empresa Mabe,"Ciudad de México, CDMX.","Ciudad de México, CDMX.",Empresa Mabe," 52 559 178 8100, 5 329 1304, 461 471 7200,",,,"datos.personales@mabe.com.mx,",11000,https://empresas10.com/grandes/mabe/,Empresas 10
Corporativo Aguila – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo Aguila – Empresa Querétaro, 6 677 123 4567,,,contacto@grupoaguila.com.mx,76090,https://empresas10.com/mex/queretaro/corporativo-aguila/,Empresas 10
Corporativo United Farms – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo United Farms – Empresa Querétaro, 52 442 161 1911,,,info@unitedfarms.mx,76000,https://empresas10.com/mex/queretaro/corporativo-united-farms/,Empresas 10
Grupo Spazio – Empresa Querétaro,"Santiago de Querétaro, Qro..","Santiago de Querétaro, Qro..",Grupo Spazio – Empresa Querétaro," 442 210 4735, 442 210 4055, 442 210 4010",,,handrade@criptas.com.mx,76150,https://empresas10.com/mex/queretaro/grupo-spazio/,Empresas 10
Corporativo Indra – Empresa Querétaro,"Santiago de Querétaro, Qro.","Santiago de Querétaro, Qro.",Corporativo Indra – Empresa Querétaro," 303 546 9151, 866 546 9151",,,help@indra.com,76158,https://empresas10.com/mex/queretaro/corporativo-indra/,Empresas 10
